Controller,Initial Angle (deg),Initial Angle (rad),Steps Survived,Total Reward,Success
CONT-LQR,-30,-0.5236,1,1.0,No
CONT-LQR,-20,-0.3491,1,1.0,No
CONT-LQR,-15,-0.2618,1,1.0,No
CONT-LQR,-10,-0.1745,1000,1000.0,Yes
CONT-LQR,-5,-0.0873,1000,1000.0,Yes
CONT-LQR,0,0.0000,1000,1000.0,Yes
CONT-LQR,5,0.0873,1000,1000.0,Yes
CONT-LQR,10,0.1745,1000,1000.0,Yes
CONT-LQR,15,0.2618,1,1.0,No
CONT-LQR,20,0.3491,1,1.0,No
CONT-LQR,30,0.5236,1,1.0,No
DISC-LQR,-30,-0.5236,1,1.0,No
DISC-LQR,-20,-0.3491,1,1.0,No
DISC-LQR,-15,-0.2618,1,1.0,No
DISC-LQR,-10,-0.1745,1000,1000.0,Yes
DISC-LQR,-5,-0.0873,1000,1000.0,Yes
DISC-LQR,0,0.0000,1000,1000.0,Yes
DISC-LQR,5,0.0873,1000,1000.0,Yes
DISC-LQR,10,0.1745,1000,1000.0,Yes
DISC-LQR,15,0.2618,1,1.0,No
DISC-LQR,20,0.3491,1,1.0,No
DISC-LQR,30,0.5236,1,1.0,No
ILQR,-30,-0.5236,1,1.0,No
ILQR,-20,-0.3491,1,1.0,No
ILQR,-15,-0.2618,1,1.0,No
ILQR,-10,-0.1745,237,237.0,No
ILQR,-5,-0.0873,1000,1000.0,Yes
ILQR,0,0.0000,1000,1000.0,Yes
ILQR,5,0.0873,1000,1000.0,Yes
ILQR,10,0.1745,237,237.0,No
ILQR,15,0.2618,1,1.0,No
ILQR,20,0.3491,1,1.0,No
ILQR,30,0.5236,1,1.0,No
